Date,3M,8 K Miles Soft,Aarti India,Aban Offshore,ABB India,Abbott India,ACC,Adani Enterpris,Adani Ports,Adani Power
1/1/2019,660.95,141.2,1450,75,1335,7550,1516.9,160.9,386.3,51
31-12-2018,660,144.85,1442,75.05,1315,7540,1486,162.85,387.2,50.9
28-12-2018,663.35,145.95,1420,75,1319.95,7540,1465,161.95,384.95,51.25
27-12-2018,652.75,149,1435,74.4,1310,7507,1499,162.25,379.25,51.2
26-12-2018,647,151,1418.5,73.7,1301.2,7509,1442.3,156.85,360.2,50.5
24-12-2018,657,159.4,1450,74.5,1304.3,7498,1479,159.4,361.25,50.85
21-12-2018,659.5,152,1453,75.75,1315,7450.15,1534.9,159.8,374.3,52.35
20-12-2018,660,159.3,1453.35,73.1,1344.8,7500.05,1538.3,159.4,374.2,52.05
19-12-2018,671.55,167.4,1449,74,1323,7520,1516,160,373.9,53
18-12-2018,686.5,155,1443.5,74.1,1398.95,7648.8,1499.8,157.7,369,52.05
17-12-2018,711.85,164.05,1439,73.5,1454.8,7600,1504,157.1,369.15,52.35
14-12-2018,697.45,173,1431,74,1437.5,7508.05,1530.5,156,370,51.95
13-12-2018,682,172.95,1457.2,74.3,1449.5,7505,1499.45,156,374.9,54
12/12/2018,677.1,149.15,1414.8,73.7,1422,7349.4,1441.25,152.8,357,51.25
11/12/2018,669.2,156.95,1350.55,68.5,1389.75,7325,1385,139,347,47.55
10/12/2018,669.9,165.2,1425,70.8,1378.5,7420.25,1419.65,146.85,360.1,48.7
7/12/2018,672,173.85,1460.1,73.8,1386.95,7594.9,1426,151.8,364.8,52.05
6/12/2018,676.1,182.95,1464.75,73.25,1366.9,7665.45,1462,155.8,372.9,53.95
5/12/2018,683,206,1454,75,1381.95,7753,1504,161.05,375,55
4/12/2018,672.55,202.65,1447.8,75.5,1392,7800,1519,165.95,374.45,58
3/12/2018,673.15,193,1435,75.3,1410,7453.95,1497,166.05,367.45,56.35
30-11-2018,661,183.85,1460,75.3,1390.25,7380.1,1463.2,168.5,369.8,55.7
29-11-2018,671,175.1,1484,77.1,1407.5,7262.15,1448.9,159.35,366.5,54.9
28-11-2018,640.95,166.8,1489,79.05,1356.05,7250,1449.95,159.15,368.2,50.7
27-11-2018,625.5,158.9,1477.9,78.9,1349,7270,1433.25,157.35,368.45,50.5
26-11-2018,621,151.35,1479.2,81.15,1350.05,7383.6,1461.5,158.5,368.45,48
22-11-2018,622.25,144.15,1500.1,80.95,1341.2,7579.95,1498,161.9,359.35,46.65
21-11-2018,640,137.3,1499,81.45,1347.5,7599.95,1475,161.6,355.25,46.9
20-11-2018,651.7,130.8,1458,81.5,1348,7600,1491,161.65,349.85,47.4
19-11-2018,659,124.6,1456,81.65,1325,7667.95,1502.6,162.4,348.2,47.55
16-11-2018,659.9,118.7,1438.7,82.75,1296,7600.05,1516.8,163,346,48.55
15-11-2018,654,113.05,1439.8,83.3,1295.95,7574.05,1478,161.75,334,48.9
14-11-2018,665.7,107.7,1387,86.45,1309.95,7560,1462,163.3,335.3,48.95
13-11-2018,663.5,102.6,1383.05,80.95,1305,7469,1435,160.25,327.65,48.15
12/11/2018,666,95,1394.8,80.6,1321,7524.05,1464.95,166,339,50.15
9/11/2018,679,93.1,1397.45,81.15,1330,7600,1457.4,165.5,328,49.6
7/11/2018,673,88.7,1400,82.9,1311.35,7624.15,1460.9,165,329,49.8
6/11/2018,667.9,80.65,1374.4,80.6,1319,7552,1479,168.25,331,50.7
5/11/2018,663.5,73.35,1389.45,79,1325,7600,1447,176.1,334.45,49
2/11/2018,665.95,59,1365,79.25,1355,7592.65,1412.1,176.6,321.7,50.25
